TradeID,Trade_Time,AccountID,Trader,Stock_Name,Stock_Ticker,Side,Quantity,Price
T00042,2026-01-06 9:44,acc0008,TRD8,Palantir,PLTR,BUY,927,18.1
T00043,2026-01-06 9:44,acc0019,TRD3,Home Depot,HD,BUY,664,354.34
T00044,2026-01-06 9:44,acc0014,TRD2,Kraft Heinz,KHC,BUY,15047,34.88
T00045,2026-01-06 9:44,acc0014,TRD2,Kraft Heinz,KHC,BUY,2877,34.88
T00046,2026-01-06 9:44,acc0012,TRD2,Royal Bank of Canada,RY,BUY,456,130.99
T00047,2026-01-06 9:45,acc0018,TRD1,SPDR Gold Shares,GLD,BUY,708,184.65
T00048,2026-01-06 9:45,acc0014,TRD2,Kraft Heinz,KHC,BUY,17950,34.95
T00049,2026-01-06 9:45,acc0018,TRD1,SPDR Gold Shares,GLD,BUY,2095,184.77
T00050,2026-01-06 9:45,acc0003,TRD10,BlackBerry,BB,BUY,3847,4.58
T00051,2026-01-06 9:45,acc0017,TRD1,Bank of Montreal,BMO,BUY,1750,120.53
T00052,2026-01-06 9:45,acc0020,TRD4,Warner Bros. Discovery,WBD,BUY,9093,11.06
T00053,2026-01-06 9:45,acc0001,TRD10,Apple,AAPL,BUY,70,190.41
T00054,2026-01-06 9:46,acc0011,TRD1,Microsoft,MSFT,BUY,250,419.66
T00055,2026-01-06 9:46,acc0014,TRD2,Kraft Heinz,KHC,BUY,4258,35.04
T00056,2026-01-06 9:46,acc0012,TRD1,Amazon,AMZN,BUY,523,170.11
T00057,2026-01-06 9:46,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,BUY,6085,65.29
T00058,2026-01-06 9:47,acc0003,TRD3,Constellation Energy,CEG,BUY,806,137.66
T00059,2026-01-06 9:47,acc0009,TRD7,Tilray Brands,TLRY,BUY,7694,2.15
T00060,2026-01-06 9:47,acc0019,TRD3,Olema Pharmaceuticals,OLMA,BUY,6295,14.28
T00061,2026-01-06 9:47,acc0006,TRD8,B2Gold,BTO,BUY,5596,3.94
T00062,2026-01-06 9:47,acc0018,TRD2,SPDR Gold Shares,GLD,BUY,407,184.9
T00063,2026-01-06 9:47,acc0018,TRD2,Exxon Mobil,XOM,BUY,296,110.57
T00064,2026-01-06 9:47,acc0015,TRD1,iShares S&P/TSX 60 Index ETF,XIU,SELL,4966,31.74
T00065,2026-01-06 9:47,acc0014,TRD4,Kraft Heinz,KHC,BUY,463,35.02
T00066,2026-01-06 9:47,acc0009,TRD9,Canopy Growth,CGC,BUY,2028,6.1
T00067,2026-01-06 9:48,acc0002,TRD2,Toronto-Dominion Bank,TD,BUY,1425,84.92
T00068,2026-01-06 9:48,acc0016,TRD1,Invesco QQQ Trust,QQQ,BUY,388,414.11
T00069,2026-01-06 9:48,acc0014,TRD2,Kraft Heinz,KHC,BUY,1556,34.99
T00070,2026-01-06 9:48,acc0018,TRD1,SPDR Gold Shares,GLD,BUY,248,184.68
T00071,2026-01-06 9:48,acc0015,TRD1,iShares S&P/TSX 60 Index ETF,XIU,BUY,7572,31.75
T00072,2026-01-06 9:48,acc0014,TRD2,Kraft Heinz,KHC,BUY,4275,35.01
T00073,2026-01-06 9:48,acc0014,TRD2,Plug Power,PLUG,BUY,13814,2.94
T00074,2026-01-06 9:48,acc0006,TRD6,B2Gold,BTO,BUY,21683,3.89
T00075,2026-01-06 9:49,acc0018,TRD2,SPDR Gold Shares,GLD,BUY,250,184.98
T00076,2026-01-06 9:49,acc0010,TRD7,Barrick Gold,GOLD,BUY,1679,17.37
T00077,2026-01-06 9:49,acc0005,TRD6,Meta Platforms,META,BUY,297,365.14
T00078,2026-01-06 9:49,acc0004,TRD4,Air Canada,AC,BUY,9320,17.24
T00079,2026-01-06 9:49,acc0014,TRD4,Kraft Heinz,KHC,BUY,1207,35.14
T00080,2026-01-06 9:50,acc0001,TRD1,SPDR S&P 500 ETF Trust,SPY,SELL,311,477.59
T00081,2026-01-06 9:50,acc0002,TRD2,iShares Core S&P/TSX Capped Composite Index ETF,XIC,BUY,8367,29.94
T00082,2026-01-06 9:50,acc0009,TRD9,Canopy Growth,CGC,BUY,2168,6.09
T00083,2026-01-06 9:50,acc0004,TRD4,TELUS,T,BUY,7510,21.96
T00084,2026-01-06 9:50,acc0004,TRD4,TELUS,T,BUY,15047,21.98
T00085,2026-01-06 9:50,acc0012,TRD1,Costco,COST,BUY,323,662.91
T00086,2026-01-06 9:50,acc0012,TRD1,Amazon,AMZN,BUY,904,170.29
T00087,2026-01-06 9:50,acc0016,TRD1,NVIDIA,NVDA,BUY,706,593.61
T00088,2026-01-06 9:50,acc0012,TRD1,Amazon,AMZN,BUY,542,170.14
T00089,2026-01-06 9:51,acc0004,TRD4,TELUS,T,BUY,6042,21.96
T00090,2026-01-06 9:51,acc0012,TRD2,Royal Bank of Canada,RY,BUY,303,131.27
T00091,2026-01-06 9:51,acc0016,TRD1,NVIDIA,NVDA,SELL,203,594.67
T00092,2026-01-06 9:51,acc0004,TRD4,TELUS,T,BUY,52381,21.98
T00093,2026-01-06 9:51,acc0001,TRD1,SPDR S&P 500 ETF Trust,SPY,BUY,430,477.54
T00094,2026-01-06 9:51,acc0012,TRD1,Amazon,AMZN,BUY,603,170.09
T00095,2026-01-06 9:51,acc0014,TRD7,Plug Power,PLUG,BUY,16787,2.96
T00096,2026-01-06 9:51,acc0014,TRD2,Kraft Heinz,KHC,BUY,2343,35.21
T00097,2026-01-06 9:51,acc0017,TRD1,Google,GOOG,BUY,1266,152.15
T00098,2026-01-06 9:51,acc0019,TRD3,Home Depot,HD,BUY,680,355.33
T00099,2026-01-06 9:52,acc0020,TRD2,Warner Bros. Discovery,WBD,BUY,20372,11.08
T00100,2026-01-06 9:52,acc0006,TRD6,B2Gold,BTO,BUY,27803,3.83
T00101,2026-01-06 9:52,acc0007,TRD9,Enbridge,ENB,BUY,498,48.41
T00102,2026-01-06 9:52,acc0006,TRD5,B2Gold,BTO,BUY,18885,3.84
T00103,2026-01-06 9:53,acc0019,TRD10,Olema Pharmaceuticals,OLMA,BUY,3830,14.58
T00104,2026-01-06 9:53,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,BUY,4398,65.15
T00105,2026-01-06 9:53,acc0011,TRD1,Microsoft,MSFT,BUY,1824,418.32
T00106,2026-01-06 9:53,acc0014,TRD2,Kraft Heinz,KHC,BUY,4538,35.17
T00107,2026-01-06 9:53,acc0020,TRD4,Canadian Pacific Kansas City,CP,BUY,866,93.7
T00108,2026-01-06 9:53,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,BUY,5333,65.15
T00109,2026-01-06 9:53,acc0018,TRD1,Exxon Mobil,XOM,BUY,640,111.27
T00110,2026-01-06 9:53,acc0006,TRD8,TC Energy,TRP,SELL,411,39.09
T00111,2026-01-06 9:53,acc0018,TRD1,SPDR Gold Shares,GLD,BUY,574,185
T00112,2026-01-06 9:54,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,4031,65.47
T00113,2026-01-06 9:54,acc0006,TRD6,B2Gold,BTO,BUY,23082,3.83
T00114,2026-01-06 9:54,acc0011,TRD1,Microsoft,MSFT,BUY,602,418.66
T00115,2026-01-06 9:54,acc0001,TRD1,Apple,AAPL,BUY,864,189.53
T00116,2026-01-06 9:54,acc0008,TRD8,Palantir,PLTR,BUY,24166,18.18
T00117,2026-01-06 9:54,acc0012,TRD2,Costco,COST,BUY,58,662.44
T00118,2026-01-06 9:55,acc0015,TRD1,iShares S&P/TSX 60 Index ETF,XIU,BUY,10999,31.72
T00119,2026-01-06 9:55,acc0017,TRD10,Google,GOOG,BUY,72,152.15
T00120,2026-01-06 9:55,acc0004,TRD4,JPMorgan Chase,JPM,BUY,4802,176.38
T00121,2026-01-06 9:55,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,2946,65.58
T00122,2026-01-06 9:55,acc0016,TRD1,Invesco QQQ Trust,QQQ,BUY,897,413.18
T00123,2026-01-06 9:55,acc0014,TRD4,Shopify,SHOP,BUY,323,99.66
T00124,2026-01-06 9:55,acc0010,TRD10,Nano Dimension,NNDM,BUY,54208,2.46
T00125,2026-01-06 9:55,acc0010,TRD6,Nano Dimension,NNDM,BUY,102569,2.47
T00126,2026-01-06 9:56,acc0004,TRD4,TELUS,T,BUY,7974,22.09
T00127,2026-01-06 9:56,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,BUY,16306,65.44
T00128,2026-01-06 9:56,acc0014,TRD2,Kraft Heinz,KHC,BUY,936,34.96
T00129,2026-01-06 9:56,acc0012,TRD1,Royal Bank of Canada,RY,BUY,797,131.86
T00130,2026-01-06 9:56,acc0017,TRD1,Google,GOOG,BUY,727,152.31
T00131,2026-01-06 9:56,acc0005,TRD5,Meta Platforms,META,BUY,238,362.55
T00132,2026-01-06 9:56,acc0004,TRD4,JPMorgan Chase,JPM,BUY,617,176.65
T00133,2026-01-06 9:56,acc0013,TRD3,Brookfield Asset Management,BAM,BUY,1259,44.48
T00134,2026-01-06 9:56,acc0013,TRD3,Brookfield Asset Management,BAM,BUY,909,44.53
T00135,2026-01-06 9:57,acc0012,TRD2,Amazon,AMZN,BUY,323,171.09
T00136,2026-01-06 9:57,acc0008,TRD8,Advanced Micro Devices,AMD,BUY,222,151.22
T00137,2026-01-06 9:57,acc0018,TRD1,Exxon Mobil,XOM,BUY,908,112.12
T00138,2026-01-06 9:57,acc0009,TRD8,Canopy Growth,CGC,BUY,2675,6.32
T00139,2026-01-06 9:57,acc0018,TRD1,Exxon Mobil,XOM,BUY,708,112.18
T00140,2026-01-06 9:57,acc0006,TRD5,B2Gold,BTO,BUY,25181,3.85
T00141,2026-01-06 9:57,acc0017,TRD1,Google,GOOG,BUY,1325,152.75
T00142,2026-01-06 9:58,acc0012,TRD1,Royal Bank of Canada,RY,BUY,838,131.94
T00143,2026-01-06 9:58,acc0009,TRD9,Tilray Brands,TLRY,BUY,16612,2.13
T00144,2026-01-06 9:58,acc0018,TRD1,SPDR Gold Shares,GLD,BUY,776,185.43
T00145,2026-01-06 9:58,acc0012,TRD1,Amazon,AMZN,BUY,808,171.01
T00146,2026-01-06 9:58,acc0014,TRD2,Kraft Heinz,KHC,BUY,5806,34.89
T00147,2026-01-06 9:58,acc0011,TRD1,Microsoft,MSFT,BUY,226,416.31
T00148,2026-01-06 9:59,acc0013,TRD10,Brookfield Asset Management,BAM,BUY,9985,44.14
T00149,2026-01-06 9:59,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,4713,65.2
T00150,2026-01-06 9:59,acc0014,TRD4,Shopify,SHOP,BUY,376,98.46
T00151,2026-01-06 9:59,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,2203,65.21
T00152,2026-01-06 9:59,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,BUY,4721,65.35
T00153,2026-01-06 9:59,acc0006,TRD10,TC Energy,TRP,SELL,3471,39.12
T00154,2026-01-06 9:59,acc0014,TRD2,Kraft Heinz,KHC,BUY,3025,34.75
T00155,2026-01-06 9:59,acc0019,TRD3,Olema Pharmaceuticals,OLMA,BUY,13080,14.78
T00156,2026-01-06 9:59,acc0012,TRD1,Costco,COST,BUY,133,665.71
T00157,2026-01-06 9:59,acc0012,TRD1,Royal Bank of Canada,RY,BUY,754,131.99
T00158,2026-01-06 10:00,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,2221,65.35
T00159,2026-01-06 10:00,acc0004,TRD4,Air Canada,AC,BUY,6120,17.09
T00160,2026-01-06 10:00,acc0009,TRD9,Tilray Brands,TLRY,BUY,3847,2.1
T00161,2026-01-06 10:00,acc0012,TRD2,Costco,COST,BUY,86,665.94
T00162,2026-01-06 10:00,acc0013,TRD3,Brookfield Asset Management,BAM,BUY,2081,44.25
T00163,2026-01-06 10:00,acc0014,TRD10,Kraft Heinz,KHC,BUY,472,34.88
T00164,2026-01-06 10:00,acc0013,TRD3,BCE,BCE,BUY,4337,55.26
T00165,2026-01-06 10:00,acc0004,TRD4,JPMorgan Chase,JPM,BUY,895,176.13
T00166,2026-01-06 10:00,acc0002,TRD2,Toronto-Dominion Bank,TD,BUY,2273,85.21
T00167,2026-01-06 10:01,acc0018,TRD2,Exxon Mobil,XOM,BUY,360,112.24
T00168,2026-01-06 10:01,acc0018,TRD10,Exxon Mobil,XOM,SELL,101,112.19
T00169,2026-01-06 10:01,acc0013,TRD3,BCE,BCE,BUY,2221,55.32
T00170,2026-01-06 10:01,acc0007,TRD7,Enbridge,ENB,BUY,874,48.12
T00171,2026-01-06 10:01,acc0004,TRD4,TELUS,T,BUY,4896,22.1
T00172,2026-01-06 10:01,acc0020,TRD2,Canadian Pacific Kansas City,CP,BUY,4214,93.36
T00173,2026-01-06 10:01,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,2221,65.23
T00174,2026-01-06 10:01,acc0001,TRD1,Apple,AAPL,BUY,495,190.31
T00175,2026-01-06 10:02,acc0001,TRD1,Apple,AAPL,BUY,904,189.67
T00176,2026-01-06 10:02,acc0001,TRD1,Apple,AAPL,BUY,455,189.74
T00177,2026-01-06 10:02,acc0018,TRD2,SPDR Gold Shares,GLD,BUY,266,185.7
T00178,2026-01-06 10:02,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,2317,65.31
T00179,2026-01-06 10:02,acc0014,TRD2,Shopify,SHOP,BUY,5465,99.06
T00180,2026-01-06 10:02,acc0004,TRD4,TELUS,T,BUY,7537,22.21
T00181,2026-01-06 10:02,acc0016,TRD1,NVIDIA,NVDA,BUY,358,593.18
T00182,2026-01-06 10:02,acc0007,TRD7,Suncor Energy,SU,BUY,1032,37.76
T00183,2026-01-06 10:02,acc0004,TRD4,JPMorgan Chase,JPM,BUY,785,176.67
T00184,2026-01-06 10:03,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,2894,65.16
T00185,2026-01-06 10:03,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,2107,65.18
T00186,2026-01-06 10:03,acc0017,TRD1,Bank of Montreal,BMO,BUY,724,120.99
T00187,2026-01-06 10:03,acc0014,TRD4,Kraft Heinz,KHC,BUY,1714,34.86
T00188,2026-01-06 10:03,acc0017,TRD1,Bank of Montreal,BMO,BUY,2105,121.08
T00189,2026-01-06 10:03,acc0013,TRD3,Brookfield Asset Management,BAM,BUY,1617,43.87
T00190,2026-01-06 10:03,acc0014,TRD4,Shopify,SHOP,BUY,262,98.67
T00191,2026-01-06 10:03,acc0003,TRD3,Constellation Energy,CEG,BUY,909,135.1
T00192,2026-01-06 10:03,acc0018,TRD1,SPDR Gold Shares,GLD,SELL,2140,185.91
T00193,2026-01-06 10:03,acc0001,TRD1,SPDR S&P 500 ETF Trust,SPY,BUY,2011,474.81
T00194,2026-01-06 10:04,acc0014,TRD2,Shopify,SHOP,BUY,691,98.8
T00195,2026-01-06 10:04,acc0011,TRD1,Microsoft,MSFT,BUY,455,416.33
T00196,2026-01-06 10:04,acc0012,TRD1,Royal Bank of Canada,RY,BUY,519,132.59
T00197,2026-01-06 10:04,acc0014,TRD4,Shopify,SHOP,BUY,315,98.92
T00198,2026-01-06 10:04,acc0013,TRD3,Brookfield Asset Management,BAM,BUY,1145,44.1
T00199,2026-01-06 10:04,acc0002,TRD2,iShares Core S&P/TSX Capped Composite Index ETF,XIC,BUY,4765,30.13
T00200,2026-01-06 10:04,acc0012,TRD2,Amazon,AMZN,BUY,296,170.31
T00201,2026-01-06 10:04,acc0020,TRD4,Warner Bros. Discovery,WBD,BUY,5771,10.92
T00202,2026-01-06 10:04,acc0018,TRD1,SPDR Gold Shares,GLD,BUY,325,185.47
T00203,2026-01-06 10:04,acc0018,TRD1,Exxon Mobil,XOM,BUY,769,111.64
T00204,2026-01-06 10:04,acc0012,TRD1,Amazon,AMZN,BUY,3709,170.39
T00205,2026-01-06 10:04,acc0019,TRD10,Olema Pharmaceuticals,OLMA,SELL,3830,15.03
T00206,2026-01-06 10:04,acc0013,TRD3,Brookfield Asset Management,BAM,SELL,1950,44.05
T00207,2026-01-06 10:05,acc0007,TRD7,Suncor Energy,SU,BUY,778,37.76
T00208,2026-01-06 10:05,acc0016,TRD1,Invesco QQQ Trust,QQQ,BUY,533,415.88
T00209,2026-01-06 10:05,acc0016,TRD1,NVIDIA,NVDA,BUY,411,591.51
T00210,2026-01-06 10:05,acc0016,TRD1,NVIDIA,NVDA,BUY,301,591.17
T00211,2026-01-06 10:05,acc0014,TRD4,Shopify,SHOP,BUY,542,99.03
T00212,2026-01-06 10:05,acc0019,TRD3,Home Depot,HD,BUY,521,357.09
T00213,2026-01-06 10:05,acc0015,TRD10,Canadian Imperial Bank of Commerce,CM,BUY,201,65.34
T00214,2026-01-06 10:05,acc0014,TRD2,Kraft Heinz,KHC,BUY,4459,34.87
T00215,2026-01-06 10:05,acc0012,TRD1,Costco,COST,BUY,224,664.58
T00216,2026-01-06 10:06,acc0012,TRD1,Amazon,AMZN,BUY,2829,169.91
T00217,2026-01-06 10:06,acc0014,TRD2,Kraft Heinz,KHC,BUY,5220,34.94
T00218,2026-01-06 10:06,acc0012,TRD1,Royal Bank of Canada,RY,SELL,782,132.23
T00219,2026-01-06 10:06,acc0013,TRD10,Brookfield Asset Management,BAM,BUY,726,43.97
T00220,2026-01-06 10:06,acc0012,TRD1,Amazon,AMZN,BUY,463,169.75
T00221,2026-01-06 10:06,acc0018,TRD2,SPDR Gold Shares,GLD,BUY,205,185.84
T00222,2026-01-06 10:07,acc0007,TRD10,Enbridge,ENB,BUY,2903,47.77
T00223,2026-01-06 10:07,acc0013,TRD3,BCE,BCE,SELL,3025,55.58
T00224,2026-01-06 10:07,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,SELL,1600,65.39
T00225,2026-01-06 10:07,acc0012,TRD2,Royal Bank of Canada,RY,BUY,318,132.13
T00226,2026-01-06 10:07,acc0011,TRD1,Microsoft,MSFT,BUY,350,414.87
T00227,2026-01-06 10:07,acc0005,TRD5,Tesla,TSLA,BUY,467,230.71
T00228,2026-01-06 10:07,acc0003,TRD3,Ford Motor,FORD,BUY,10090,13.05
T00229,2026-01-06 10:07,acc0014,TRD4,Kraft Heinz,KHC,BUY,560,34.88
T00230,2026-01-06 10:07,acc0010,TRD7,Barrick Gold,GOLD,BUY,1889,17.21
T00231,2026-01-06 10:07,acc0012,TRD1,Costco,COST,BUY,129,669
T00232,2026-01-06 10:07,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,BUY,3156,65.35
T00233,2026-01-06 10:08,acc0013,TRD3,Brookfield Asset Management,BAM,BUY,1967,44.28
T00234,2026-01-06 10:08,acc0002,TRD2,iShares Core S&P/TSX Capped Composite Index ETF,XIC,BUY,4748,30.11
T00235,2026-01-06 10:08,acc0015,TRD1,Canadian Imperial Bank of Commerce,CM,BUY,5788,65.33
T00236,2026-01-06 10:08,acc0016,TRD1,Invesco QQQ Trust,QQQ,BUY,303,414.61
T00237,2026-01-06 10:08,acc0015,TRD1,iShares S&P/TSX 60 Index ETF,XIU,BUY,6033,31.72
T00238,2026-01-06 10:08,acc0020,TRD4,Canadian Pacific Kansas City,CP,BUY,1556,93.21
T00239,2026-01-06 10:08,acc0005,TRD6,Tesla,TSLA,BUY,591,232.15
T00240,2026-01-06 10:09,acc0012,TRD1,Amazon,AMZN,BUY,588,169.68
T00241,2026-01-06 10:09,acc0004,TRD4,TELUS,T,BUY,5657,22.33
T00242,2026-01-06 10:09,acc0010,TRD6,Barrick Gold,GOLD,BUY,5263,16.96
T00243,2026-01-06 10:09,acc0014,TRD4,Kraft Heinz,KHC,BUY,1705,34.95
T00244,2026-01-06 10:09,acc0014,TRD4,Shopify,SHOP,BUY,297,98.95
T00245,2026-01-06 10:09,acc0020,TRD4,Canadian Pacific Kansas City,CP,BUY,883,93.28
T00246,2026-01-06 10:09,acc0002,TRD2,Canadian Natural Resources,CNQ,SELL,1364,78.42
T00247,2026-01-06 10:09,acc0004,TRD4,JPMorgan Chase,JPM,SELL,637,177.83
T00248,2026-01-06 10:09,acc0004,TRD4,TELUS,T,BUY,11008,22.34
T00249,2026-01-06 10:09,acc0016,TRD1,NVIDIA,NVDA,BUY,329,592.33
T00250,2026-01-06 10:09,acc0002,TRD2,iShares Core S&P/TSX Capped Composite Index ETF,XIC,SELL,4905,30.17
T00251,2026-01-06 10:09,acc0003,TRD3,BlackBerry,BB,BUY,10667,4.55
T00252,2026-01-06 10:09,acc0005,TRD6,Meta Platforms,META,BUY,346,360.25
T00253,2026-01-06 10:09,acc0003,TRD3,Ford Motor,FORD,BUY,6645,13.09
T00254,2026-01-06 10:09,acc0003,TRD3,BlackBerry,BB,BUY,7869,4.56
T00255,2026-01-06 10:09,acc0012,TRD1,Costco,COST,BUY,187,667.1
T00256,2026-01-06 10:09,acc0020,TRD4,Warner Bros. Discovery,WBD,BUY,7677,11.02
T00257,2026-01-06 10:09,acc0017,TRD1,Bank of Montreal,BMO,BUY,1932,120.95
T00258,2026-01-06 10:09,acc0003,TRD7,BlackBerry,BB,BUY,26230,4.66
T00259,2026-01-06 10:10,acc0012,TRD1,Costco,COST,BUY,129,667.54
T00260,2026-01-06 10:10,acc0017,TRD1,Google,GOOG,BUY,1282,153.67
T00261,2026-01-06 10:10,acc0007,TRD8,Enbridge,ENB,BUY,10142,48.11
T00262,2026-01-06 10:10,acc0018,TRD2,SPDR Gold Shares,GLD,BUY,308,185.68
T00263,2026-01-06 10:10,acc0020,TRD4,Warner Bros. Discovery,WBD,SELL,7222,11.1
T00264,2026-01-06 10:10,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,4153,65.3
T00265,2026-01-06 10:10,acc0007,TRD9,Suncor Energy,SU,BUY,752,37.94
T00266,2026-01-06 10:10,acc0016,TRD1,Invesco QQQ Trust,QQQ,BUY,1271,413.82
T00267,2026-01-06 10:10,acc0004,TRD4,JPMorgan Chase,JPM,BUY,453,177.44
T00268,2026-01-06 10:10,acc0004,TRD4,Air Canada,AC,SELL,2763,17.49
T00269,2026-01-06 10:10,acc0012,TRD2,Royal Bank of Canada,RY,SELL,598,132.24
T00270,2026-01-06 10:10,acc0009,TRD9,Tilray Brands,TLRY,SELL,6995,2.15
T00271,2026-01-06 10:10,acc0020,TRD4,Canadian Pacific Kansas City,CP,SELL,1224,93.08
T00272,2026-01-06 10:10,acc0012,TRD1,Royal Bank of Canada,RY,BUY,591,132.41
T00273,2026-01-06 10:10,acc0018,TRD1,SPDR Gold Shares,GLD,BUY,502,185.52
T00274,2026-01-06 10:10,acc0007,TRD9,Enbridge,ENB,BUY,385,47.76
T00275,2026-01-06 10:10,acc0015,TRD1,iShares S&P/TSX 60 Index ETF,XIU,BUY,8087,31.86
T00276,2026-01-06 10:11,acc0001,TRD1,SPDR S&P 500 ETF Trust,SPY,BUY,656,473.01
T00277,2026-01-06 10:11,acc0020,TRD4,Canadian Pacific Kansas City,CP,BUY,866,92.67
T00278,2026-01-06 10:11,acc0009,TRD9,Canopy Growth,CGC,BUY,2238,6.47
T00279,2026-01-06 10:11,acc0004,TRD4,TELUS,T,BUY,4380,22.39
T00280,2026-01-06 10:11,acc0016,TRD1,NVIDIA,NVDA,BUY,367,592.93
T00281,2026-01-06 10:11,acc0002,TRD10,Toronto-Dominion Bank,TD,BUY,358,85.02
T00282,2026-01-06 10:11,acc0018,TRD1,SPDR Gold Shares,GLD,BUY,358,186.34
T00283,2026-01-06 10:11,acc0006,TRD6,B2Gold,BTO,BUY,38820,3.76
T00284,2026-01-06 10:11,acc0018,TRD2,Exxon Mobil,XOM,BUY,383,111.61
T00285,2026-01-06 10:11,acc0011,TRD1,Bank of Nova Scotia,BNS,BUY,2090,65.29
